Date,Rank,Category,Title,Author,Week on List,Description
2021-05-16,1,Hardcover Fiction,Sooley,John Grisham,1,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-05-16,2,Hardcover Fiction,The Hill We Climb,Amanda Gorman,5,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem."
2021-05-16,3,Hardcover Fiction,Finding Ashley,Danielle Steel,1,"Two estranged sisters, one a former best-selling author, the other a nun, reconnect as one searches for the child the other gave up."
2021-05-16,4,Hardcover Fiction,A Gambling Man,David Baldacci,2,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town."
2021-05-16,5,Hardcover Fiction,The Four Winds,Kristin Hannah,13,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West."
2021-05-16,1,Hardcover Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,1,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-05-16,2,Hardcover Nonfiction,The Bomber Mafia,Malcolm Gladwell,1,A look at the key players and outcomes of precision bombing during World War II.
2021-05-16,3,Hardcover Nonfiction,You Are Your Best Thing,ted by Tarana Burke and Brené Brown,1,An anthology of writing on the Black experience and shame resilience.
2021-05-16,4,Hardcover Nonfiction,How Y'All Doing?,Leslie Jordan,1,A collection of essays by the Emmy-winning actor who became a viral sensation without knowing what that phrase meant at the time.
2021-05-16,5,Hardcover Nonfiction,"Out Of Many, One",George W. Bush,2,"Forty-three portraits by the former president, of men and women who have immigrated to the United States."
2021-05-16,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,5,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-05-16,2,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,28,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
